metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/series,metadata/variant,capacity,form_factor,interface,nvme,storage_type,type,cache,metadata/releaseYear,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,metadata/part_numbers/5
"Samsung 840 Evo 250 GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ-7TE250LW,,840,250GB,250,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Mushkin Vortex Redline 1TB SSD M.2 PCIe 4.0 NVMe,Mushkin,MKNSSDVT1TB-D8,,Vortex,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Kingston KC2500 2TB SSD M.2-2280 PCIe 3.0 X4 NVMe,Kingston,SKC2500M8,2000G,KC2500,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP AX2 512GB SSD 2.5"" SATA",TEAMGROUP,T253A3512G0C101,AX2,AX2,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Silicon Power P34A60 256GB SSD M.2-2280 PCIe 3.0 X4 NVMe,Silicon Power,SP256GBP34A60M28,4.71344E+12,P34A60,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Intel 660p 512GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Intel,SSDPEKNW512G801,,660p,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Inland Professional 480GB SSD 2.5"" SATA",Inland,480 GB SSD,,Professional,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Silicon Power A80 1TB SSD M.2-2280 NVMe PCIe 3.0,Silicon Power,SP001TBP34A80M28,,A80,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Kingston A2000 500GB M.2-2280 SSD PCIe 3.0 X4 NVMe,Kingston,SA2000M8,500G,A2000,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,SA2000M8/500G,,,
Kingston NV2 2TB SSD M.2 PCIe 4.0 NVMe,Kingston,SNV2S,2000G,NV2,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,SNV2S/2000G,,,
Transcend 250S 4TB SSD M.2 PCIe 4.0 NVMe,Transcend,TS4TMTE250S,,250S,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"PNY CS900 250 GB SSD 2.5"" SATA 6.0 Gb/s",PNY,SSD7CS900-250-RB,,CS900,250GB,250,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Intel DC P4511 1TB M.2-22110 SSD PCIe 3.0 x4 NVMe,Intel,SSDPELKX010T801,,DC,1000GB,1000,M.2-22110,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Seagate Barracuda Compute 256GB SSD M.2 PCIe 3.0 NVMe,Seagate,ZP256CM30041,,Barracuda,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Crucial BX300 120GB SSD 2.5"" SATA",Crucial,CT120BX300SSD1,,BX300,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Intel SSDMCEAW120A401 120GB SSD mSATA mSATA,Intel,SSDMCEAW120A401,,SSDMCEAW120A401,120GB,120,mSATA,mSATA,FALSE,SSD,SSD,,,,,,
"ADATA Premier Pro SP600 128GB SSD 2.5"" SATA",ADATA,ASP600S3-128GM-C,,Premier,128GB,128,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Kingston NV3 4TB SSD M.2 NVMe PCIe 4.0,Kingston,SNV3S,4000G,NV3,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,SNV3S/4000G,,,
"Samsung 870 Evo 250GB 2.5"" SSD SATA",Samsung,MZ-77E250B,AM                                                    MZ-77E250B,870,250GB,250,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,EU                                                    MZ-77E250BW,MZ-77E250B/AM,,
Gigabyte AORUS Gen4 7300 2TB M.2-2280 SSD PCIe 4.0 X4 NVMe,Gigabyte,AG4732TB N,,AORUS,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,2048,,,,,
TEAMGROUP T-FORCE Z44A5 1TB SSD M.2-2280 PCIe 4.0 X4 NVME,TEAMGROUP,TM8FPP001T0C129,,T-FORCE,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Intel 320 40 GB 2.5"" SSD SATA 3.0 Gb/s",Intel,SSDSA2BT040G301,,320,40GB,40,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
Crucial P5 2TB M.2-2280 SSD PCIe 3.0 x4 NVMe,Crucial,CT2000P5SSD8,,P5,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"PNY CS900 120GB 2.5"" SSD SATA",PNY,SSD7CS900-120-PB,SSD7CS900-120-RB,CS900,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Silicon Power A55 128GB-4TB SATA III 6Gb/s 2.5-inch Internal Solid State Drive,Silicon Power,SU128GBSS3A55S25AH,SP128GBSS3A55S25,A55,,128,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,0,,,,
"Kingston SSDNow V+100 512GB SSD 2.5"" SATA 3.0 Gb/s",Kingston,SVP100S2,512G,SSDNow,512GB,512,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital WD Blue 4TB SSD 2.5"" SATA",Western Digital,WDBNCE0040PNC-WRSN,,WD,4000GB,4000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Samsung 830 64GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,F-MZ-7PC064DAM,MZ-7PC064D/AM,830,64GB,64,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Netac NV5000 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Netac,NT01NV5000-1T0-E4X,,NV5000,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba MG09 512e 12 TB HDD 7200 RPM 3.5"" SATA 6.0 Gb/s",Toshiba,MG09ACA12TE,,MG09,12000GB,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Corsair MP600 ELITE w/Heatsink 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Corsair,CSSD-F2000GBMP600EHS,,MP600,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Intel 710 100GB 2.5"" SSD SATA 3.0 Gb/s",Intel,SSDSA2BZ100G3,,710,100GB,100,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
Silicon Power A55 256GB SSD M.2-2280 SATA,Silicon Power,SU256GBSS3A55M28AB,,A55,256GB,256,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
Crucial P3 Plus 4TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Crucial,CT4000P3PSSD8,,P3,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Hitachi Deskstar 7K3000 3TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s Internal",Hitachi,HDS723030ALA640,,Deskstar,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
TEAMGROUP MP33 512GB SSD M.2-2280 PCIe 3.0 x4 NVMe,TEAMGROUP,TM8FP6512G0C101,,MP33,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
