metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
LucidSound LS41 7.1 Channel Closed Headphones,LucidSound,LS41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK313IRD Closed-Back In-Ear With Microphone Headphones,Audio-Technica,ATH-CK313IBRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK313MBPK In-Ear Closed-Back With Microphone Headset,Audio-Technica,ATH-CK313MBPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs 51EF0610AA010 Closed In-Ear Headphones,Creative Labs,51EF0610AA010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mionix NASH 20 Semi-Open Back Wired Headphones Black,Mionix,NASH-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DRXB23VP With Microphone In-Ear Closed-Back Headphones,Sony,DRXB23VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H390 ,Logitech,981-000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-PDG1 Open-Back Gaming Headphones,Audio-Technica,ATH-PDG1,ATHPDG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Delta Gaming Headset,ASUS,ROG Delta                                                    90YH00Z1-B2UA00,ROG DELTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA HP59WH Closed In-Ear Headphones,RCA,HP59WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony WH-1000XM3 Headset,Sony,WH-1000XM3,WH-1000XM3SME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon HARKARNC Closed-Back Headphones,Harman Kardon,HARKARNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony 3000398 Closed-Back Headphones,Sony,3000398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba SHELL Closed-Back Headphones in Black / Red,Syba,OG-AUD63047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEH30W In-Ear Closed Headphones,Pyle Audio,PIEH30W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avermedia SonicWave GH337 7.1 Channel Gaming Headset,Avermedia,GH337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFM-256 Closed In-Ear Headset with Microphone,Skullcandy,S2FFFM-256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-MODA CROSSFADE M-100 SHADOW Headphones,V-Moda,M-100-U-SHADOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK313MBRD Closed In-Ear Headset,Audio-Technica,ATH-CK313MBRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDREX38IP/BQ(U) Closed-Back In-Ear Headphones,Sony,MDREX38IP,BQ(U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Strix Go Closed Gaming Headset,ASUS,90YH02Q1-B2UA00                                                    ROG STRIX GO USB-C,90YH02Q1-B2UA00,ROG STRIX GO USB-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN RE-600 V2 Songbird In-Ear Closed Headphones,HiFiMAN,RE-600 V2 Songbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS45 SURROUND 7.1 Channel Headset,Corsair,CA-9011220-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-850 Closed-Back Wired Headphones (Black / Silver),Cyber Acoustics,AC-850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6AVFM-157 Closed-Back Headphones,Skullcandy,S6AVFM-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M35 Closed-Back Headphones,Audio-Technica,ATH-M35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics GAMECOM 308 Wired Gaming Headset,Plantronics,201250-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker Soundcore Life Q35 Closed-Back Headphones,Anker,A3027031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
